Temperature,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,E1,E2,E3,F1,F2,F3,G1,G2,G3,H1,H2,H3
62.14279643,482359.8125,520620.25,454354.1875,493527.8125,518648.8125,525474.5,487209.2188,510575.75,508212.5938,559657.625,524360.9375,457171.2188,544016.25,531124.125,502967.1875,566557.625,534284.3125,351538.0312,559171.5625,517938.25,512524.1875,508588.5,527836,534899.9375,545948.0625,527563.875,516423.4688
62.2219,481105.8438,518773.2812,453037.5938,491948.2812,514941.6875,523146.3438,485408.875,508433.25,508351.2188,557728.6875,521700.9062,455444.8438,542880.5625,528557,501541.125,566071.75,531483.5,350150.3438,558573.9375,515363.6875,511622.5,506310.3438,524060.6875,532912.9375,545060.4375,525131.4375,515021.9375
62.30075476,480805.875,517451.4688,451938.9375,490417.875,515960.5,522145.5312,484021.8125,507235.0938,505462.8125,556783.8125,520172.375,453901.2812,539310.5,527813.75,499526.5938,562742.5625,530234,348352.6875,555964.625,514663.4375,509118.9375,503884.8125,524199.6562,531041.6875,543047.875,524321.8125,513329.7188
62.37983095,477956.1875,515841.1562,450353.9062,488722.25,514481.8125,520423.0625,482836,505611,501106.6875,554795.9375,516674.125,451724.625,538035.3125,526586.625,499491.0625,560829.625,528931,347069.7188,553743.625,510639.75,506703.9375,502926.875,520411.875,531103.625,541024.9375,521627.2812,511845.4062
62.46223571,477127.6562,513708.4375,448657.9688,486737.4375,511683.0625,518315.3125,480584.9375,503702.0625,501239.125,552580.625,515882.75,450129.8125,535336,523878.5938,496680.375,558978.375,526677.8125,346133.375,551987.0625,510145.3125,505382.25,499860.5,520419,527231.9375,539402.4375,519850.125,509361.8438
62.53957024,475264.5938,511955.3438,447448.4375,485304.375,508037.3125,517086.7812,479524.625,502170.4375,500540.25,549869.5625,513638.25,448926.4062,534935.9375,520840.625,494404.2188,559198.4375,522777.5312,345402.125,551815.4375,507782.9375,503886.3125,498027,519493.3125,525724.3125,538167.375,517927.625,508139.9375
62.61799286,472969.9375,510363.8125,445875.9688,483756.4688,506495.625,514532.1875,477995.7188,500486.4062,496743.6562,548089.25,511180.1875,447137.9062,532026.0625,518747.1875,492510.9375,557441,521874,342972.0938,549824.0625,506091.3125,502276.625,496116.8125,515297.3125,526187.375,535956.625,516119.9375,506868.0625
62.69710714,472131.375,509118.0625,444206.3125,482430.6562,506580.875,513578.75,475612.75,498024.2812,496737.8125,547880.25,511764.8125,446512.5625,531533.3125,518878.4375,490743.3125,554071,520462.25,342354.75,547416,503504.6875,499392,495632.25,515113.5938,522054.125,533716.375,514616.8125,504180.8125
62.77485238,469801.2812,506912.875,442458.125,480455.0312,504489.5,512630.0938,473945.0938,496979.5625,493054.625,545065.5,510251.4375,443071.1562,528944.375,516697.75,489101.5,551857.125,519815.2812,341308.75,545419.5,502238.5,497438.4375,493861.625,512640.5625,520081.6562,531721.375,512930.4688,502126.875
62.85529643,467854.875,505042.2188,440936.1562,478891.375,500787.375,509886.7812,472274.5625,494916.7812,491618.6562,541709.875,506591.8438,442499.3438,527384.375,512880.8125,488532.75,551883.75,516232.4375,339996.6562,545940.125,500516.875,496657.75,491941.0938,512111.6875,518571.5312,529975.9375,510621.4375,500732.875
62.93409762,466717.625,502812.5312,439995.7188,476932.0312,500783.7188,508291.4375,470753.4375,493205.2188,490528.4375,540893.0625,507094.75,440558.4062,524775.75,511721.75,484878.1875,547790.875,514335.375,337282.0625,541702.4375,498455.125,495169.5312,489210.25,510035.9375,517997.5,528168.5,508955.8125,499812.0625
63.01509167,465862.875,501495.375,437894.8125,475504.4375,498880.8125,507329.4375,468856.0625,491428.4375,490079.7188,538210.0625,504066.75,439004.7188,523425.7188,509419.6562,484883.875,546183.5,513025.0312,337098.375,539817.1875,497326.0625,492875.3125,487686.3125,508771.4062,514042.1875,525714.0625,507759.5625,496692.75
63.09103571,463518.2812,499709.9688,436716.1562,473767.4688,497268.5312,505487.375,468041.875,489986.5938,487827,536191.3125,503139.4062,437097.625,523153.6875,508236.625,482556,545116.9375,511043.9062,334897.6875,538714.8125,495088.6875,490614.9062,486308.8125,505655.375,514885.5938,524237.4688,506185.2812,495855.875
63.1703119,461782.875,497746.9375,434981.625,472172.25,496302.9688,504113.625,465893.0625,488752.3125,485781.9062,534172.25,501892.8438,435471.875,520716,506441.625,481951.9688,543252.125,508790.625,334510.75,536642.75,493176,489874.1562,485368.8125,506125.1875,511162.0938,522397.7812,504013.25,493595.1875
63.24826786,460017.1875,496646.6562,433320.9375,470413.1875,494892.4375,501215.9062,464521.1875,486536.0938,482105.1875,533313.125,499108.4062,433711.1875,517097.2812,504015.125,480257.25,542582.4375,504874.9375,333534.25,535457,490625,487667.9375,482790.1562,503331.9375,509383.9375,520546.7812,502278.5938,491860.4375
63.32980238,457685.8125,494679.8125,431682,468722.6875,492859.7812,500099.8125,462297.875,484165.9375,479826.1562,530152.25,496909.4062,433113.375,515482.0312,502207,477390.0625,540030,505277.7812,331289.4062,533046.9375,491078.5625,486442.7188,481742.4062,502380.7812,507806.4688,518271.25,500730.8438,490110.8438
63.40675952,456853.375,492749.375,430030.3125,467751.3125,490688.5,498147.5,460480.9375,482889.5625,479427.4375,528150.5,495308.9375,432152.4688,513245.3125,500877.6875,476318.5625,537708,503702.625,330781.7812,531196.75,488246.875,485273.8438,478711.375,499679.0625,505552.7188,516430.9062,498953.4688,488440.4062
63.4860869,455540.75,491072.2188,428502.0625,465655.25,489322.3125,495968.7812,458926.0312,480728.0625,477763.375,525740.5625,494703.3125,430504.0938,512077.25,497950.5625,474139.75,536861,501369.3125,329064.875,529675.75,487077.125,483487.5938,477321.75,497462.9375,504278.6875,514965.0312,497176.3438,486779.5
63.559825,454454.2188,489331.4375,427435.9688,464273.9375,488968.7188,495144.5625,457999.75,479192.125,476560.2188,524721.9375,492292.4688,428678.9375,510795.1875,497709.6875,472373.8125,534454.75,500278.0938,327272.25,527204,485475.1562,481174.875,476398.375,496616.5,503905.9375,513076.7188,495979.9688,485958
63.63915,452439.75,487710.75,425400.5625,462665.375,486946,493494.75,455683.4375,478432.3125,474214.125,521791.4375,492257.9688,426907.5312,508416.5312,495025.375,472183.8438,531585.6875,497683,327037.125,525654.375,482689.625,480680.8438,474736.8438,495546.0625,500180.25,510808.625,493582.3125,483511.8438
63.71719524,450849.6875,485997.2812,423954.5,461039.1875,484034.625,491041.75,454122.3125,476127.2188,473094.0938,520947.3125,490565.6562,425290.4375,508221.5625,493850.5,470172.625,532052.125,495731.4375,325560.625,524039.4375,481945.4062,477929.5938,473228.6875,492886.8438,499036.125,509489.6562,492539.9688,481476.1562
63.79427143,449626.6875,484513.4375,422546.0625,459573.5,482659.9375,490080.1875,453093.0312,473765.3438,473090.9375,518934.5312,488357.375,424065.1562,507738.0625,492278.9688,467527.75,528974.8125,494236.1875,324069.8125,521986.375,479374.0625,476026.375,471919.1875,492087.9375,497027.7812,507515.3125,490848.6562,480042.6875
63.87118452,447033.5312,482298,420948.2188,457798.0938,479414.75,487367.4062,451070.2812,472464.4062,470547.8125,515838.0312,485594.7188,423031.75,504173.0938,489186.375,465988.2812,527659.625,492008,323024.625,521183.75,478303.5938,475321.4062,470046.375,489501.5625,494720.0312,505309.1875,488790.6562,478550.3438
63.950225,446010.5625,480886.2812,419631.0312,456300.7812,479311.0938,486072.75,449708.8438,471278.3125,468444,514850.875,486297.7812,421016.0938,503319.125,488687.75,464609.8125,524803.0625,490629.3125,321843.7188,517912.7812,475895.3125,473348.6875,467847.9062,488267.9688,492891.75,504160.4688,487184.9688,476758.1875
64.02850714,444126.5625,479263.0625,417899.75,454327.9688,477691.4688,484002.7188,447762.25,469861.5312,466508.875,512711.6562,483505.375,419158.0312,499714.875,486417.6562,462008.5625,523277,489655.0938,320898.625,516726.125,474500.375,472492.3438,466056.9375,487217.4375,491017.75,502052.0625,485379.1562,475135.125
64.10598214,443074,477695.75,416377.4375,453046.6875,475084.9375,481242.625,446285.5625,467658.2812,464658.875,512094.3125,480781.6875,418414.5312,499628.4062,485111.2188,462300.4375,522851.3438,486908.3125,320400.7188,514679.75,472434.4375,469979.375,464409.875,484398.375,489454.8438,500461.1875,483676.25,473454.9375
64.18270595,441792.875,475915.2812,415063.1875,451387.25,472795.9062,479901.8125,444684.8125,466370.6875,463186,509927.0625,479507.1875,417150.8125,496601.875,482669.9375,460292.2812,521206.3125,485059.9062,318335.0312,513502.5312,471840.2812,468305,462874.5312,483595.0625,488852.6875,499014.5,481979.5,471929.6875
64.2627369,440257.3125,474017.0312,413466.4375,449565.6562,472835.75,478635.5625,442849.75,464894.2188,462179.3125,507548.125,478160,415244.1875,494215.8125,481605.5,458154.0938,517631.2188,484584.3438,315780.4062,511132.2812,470057.25,465999.9062,460938.8125,482095.875,488106.9062,496896,480464.8438,470510.125
64.34026071,439456.4688,472246.0938,412157.7188,447890.2812,470599.2188,477390.75,442087.125,462913.125,462131.5625,506036.6875,476901.8438,413879.625,493184.1562,480352.6875,455473.3438,516087.4688,482994.2188,315074.4688,509105.7812,467437.875,464710.9375,460105.125,480534.6562,486180.125,494831.6875,478493.9062,469181.1562
64.41604524,437118.1875,470491.5938,410766.5312,446453.25,467611.25,475061.0938,440248.3438,461941.2188,460336.5312,503999.4688,474079.5,412537.0625,492127.1562,477749.3438,454082.4375,516361.3438,480333.2812,315021.3125,508695.4375,467039.625,463680.125,457435.125,478469.8125,483354.875,494072.1562,476841.6875,467102.7188
64.49507262,435438.0312,469056.625,408982.6562,444987,467013.0312,473597.3438,438215.0625,459836.1562,456480.2188,502720.9062,473334.8125,411902.75,487871.375,476983.0312,453853.25,511966.8438,480040.3438,313223.8438,505529.4688,464646.5625,461850.3125,456793.625,476639.4375,481488.2188,490919.9688,475176.375,465538.2812
64.57264286,434628.0625,467283.875,407808.5,443179.6875,466424.25,472016.7188,436969.9688,457837.75,455143.6875,500523.6875,471825.4062,410131.0625,486351.375,474515.4688,451665.5625,512261.25,477068.375,312218.6562,503999.3125,463850.1562,460042.4375,454917.1875,474757.5625,479667.0625,490002.0938,473625.0625,463566.8438
64.65020357,432533.875,465570.375,406247.5625,441648.125,464568.5312,470497.7812,435497.7188,456166.0625,452741.0938,499420.9375,468615.4688,408536.125,484501.625,473081.2812,449805.625,510242.5938,474880.8125,311352.7812,502351.3125,461547.875,458061.4375,453405.375,472806.7812,478273.0625,487840.3125,471750.625,461652.4062
64.7277881,430897.6875,463420.3125,404893.4375,439834.9375,460873.4688,468679.5,433799.4062,454941.3438,452867.1875,497000.3125,467890.5,406817.2188,484075.2812,471271.875,448004.6562,508234.875,474629.75,309308.2812,500456.5312,461233.7812,456739.7188,451592.375,470991.8125,477984.8125,486175.9688,470139.875,461077.1875
64.80550238,429204.5625,462012.4375,403284.5938,438517.25,459456.25,466763.1875,432014.875,452574.25,450429.625,495863.6562,466574.6562,405625.9375,482421.3438,468948.125,446776.5938,506622.2812,470640.75,308487.3438,498980.5,457285.5625,455379.1875,449017.5312,470082.7812,475218.5312,484346.25,467676.5625,458599.4375
64.88574048,428011.6562,460438.5,401912.375,436835.5938,458393.4375,465630.5312,430769.5312,451852.0625,451223.2188,495211.6875,464370.1562,403664.375,483504.5625,469577.375,445216.7812,504194.0938,470821.6875,306856.4688,496468.8438,455924,452636.5312,448372.9375,467990.8125,473433.2188,482413.9062,466616.875,457033.8125
64.9625869,426247.875,458940.3438,400593.875,435277.0312,458124.875,464128.5625,429372.125,449820.4375,445561.625,492999.0312,462563.1875,402339.75,477732.25,466156.6875,443562.5,503068.5625,468218.625,305817.5,495057.0625,454596.4375,451564.8125,446983.9375,467242.5625,472015.4375,480801.9062,465106.3125,455633.8125
65.04076786,425319.0625,456667.1875,399062.375,433857.125,455374.9375,462163,428130.6875,449058.4688,446948.4375,490997.25,459221.3125,400590.0625,477135.4375,464229.125,442268.6562,500742.625,466987.625,304872.875,493789.7188,453216.0312,450382.75,444207.3125,465248.7188,470048.25,479121.4375,463376.5625,453765.2812
65.11869524,423450.875,454896.4062,397726.25,431792.2188,453528.125,460515.6875,426617.125,446936.5625,444839.8125,488167.4688,458962.75,399014.0938,475464.3438,462387.875,440502.6562,500376.9062,465073.3438,304241.7812,492655.75,452042,448443.7188,442916.25,463495.3125,468316.6875,477439.8438,462196.4688,451935.3438
65.19830238,421920.5312,453509.375,396271.125,430575.1875,452206.6875,459237.125,425023.8438,445705.9375,442813.5,486868.375,458093.5625,397793.4688,474090.9375,461398.9688,438816.0625,497405.0312,463777.9688,302601.75,490373.2812,450343.6875,447282.875,441886.9375,462098.125,466563.8438,475633.1562,459914.3125,450868.2812
65.27869524,420501.6562,451830.6875,394812.6562,429026.5625,450576.75,457758.7188,423369.125,444059,441894.6875,485637.5625,455756.125,395738.4688,472716.8125,460203.375,437500.5625,494740.5312,462450.7812,301392.4375,488255.625,448444.6875,445304.6875,440214.0312,460292.8438,463937.4375,473654.9062,458632.125,448888.1875
65.35926548,418672.5312,450263.875,393456.625,427685.625,449427.4375,456096.4375,422577,442688.4375,439076.3125,483860.4062,453428.5625,394378.7188,472182.9688,458703.7812,434978.4062,494302.9375,459940.125,299426.2812,486380.375,446024.875,442673.5625,438382.9062,459363.9375,464893.625,472118.5,457091.5312,447528.875
65.43767381,417565.3125,448356.875,391991.0312,425901.5,447566.0312,454453.75,420419.7812,441030.25,438987.4062,481864.3125,452475.75,393355.0938,468393.6875,456149.75,434946.5625,491090.5312,459108.1875,299302,484939.6562,444740.5,442388.6875,436087.1875,457844.625,461066.4062,470100.5312,455241.9062,445632.9375
65.51494286,416227.125,447146.0625,390705.8125,424583.875,445921.875,452910.1562,419591.1875,439010.5625,436861.9688,480310.9375,450560.3438,392322.625,466769.75,455266.4062,432230.8125,491137.5312,458563.2188,297817.3125,484380.875,444113.375,440717.0625,434856.8125,456031.1875,459921.3438,468917.375,454184.4062,444277.0625
65.58880952,413882.7812,445459,389169.625,423061.1875,444927.1562,451163.1875,417575.8438,438111.0625,432332.625,478797.1875,448244.8125,389594.3125,464089,453666.1562,432545.6562,489546.7188,455676.3125,296497.0625,482074.375,442273.7812,438388.5625,434561.8125,452054.7812,458384.2812,466896.2812,452443.75,442430.0312
65.66505714,413058.3438,443782.5938,387824.3125,421695.375,442869.625,449586.5,415677.7812,436648.5938,433372.6562,476804.0938,448292.4688,388513.5625,464307.9062,451519.4375,430703.4375,488749.8125,453526.5938,296032.1875,481037.0625,440023.3125,437104.125,431912.2812,451741.2812,457515.125,465652.8125,450660.5625,440881.0312
65.74518333,411842.25,442413.9375,386594,419911.2188,441109.0625,448283.1875,414864.3438,434689.25,432291.5312,475643.0625,446687.8438,386940.2812,462844.125,449985.9375,427712.0625,486696.3438,451513.9375,294311.4375,479117.2812,438275.1875,435596.1562,429683.625,449600.7188,455262.5312,463958,449083.5,439289
